report_date,group,producer,brand,tonnes,thou_rub
2023-05-01,Группа 2,Производитель 4,Бренд 13,293.6,389.76
2023-06-01,Группа 2,Производитель 15,Бренд 24,448.16,318.79
2023-07-01,Группа 2,Производитель 23,Бренд 23,638.53,707.88
2023-08-01,Группа 2,Производитель 12,Бренд 13,423.8,377.93
2023-09-01,Группа 2,Производитель 4,Бренд 13,456.06,942.93
2023-10-01,Группа 2,Производитель 23,Бренд 9,934.16,601.83
2023-11-01,Группа 2,Производитель 20,Бренд 8,607.81,634.25
2023-12-01,Группа 2,Производитель 20,Бренд 17,821.22,828.86
2024-01-01,Группа 2,Производитель 6,Бренд 22,492.74,984.75
2024-02-01,Группа 2,Производитель 4,Бренд 11,774.91,564.5
2024-03-01,Группа 2,Производитель 21,Бренд 16,495.61,224.6
2024-04-01,Группа 2,Производитель 24,Бренд 14,735.76,550.68
2024-05-01,Группа 2,Производитель 2,Бренд 12,784.19,981.89
2024-06-01,Группа 2,Производитель 4,Бренд 13,784.34,889.89
2023-01-01,Группа 2,Производитель 10,Бренд 7,448.46,844.3
2023-02-01,Группа 2,Производитель 23,Бренд 18,615.57,266.81
2023-03-01,Группа 2,Производитель 10,Бренд 19,420.15,320.99
2023-04-01,Группа 2,Производитель 6,Бренд 11,903.37,963.61
2023-05-01,Группа 2,Производитель 24,Бренд 8,994.87,489.24
2023-06-01,Группа 2,Производитель 10,Бренд 2,359.26,711.42
2023-07-01,Группа 2,Производитель 22,Бренд 5,242.1,499.07
2023-08-01,Группа 2,Производитель 12,Бренд 23,270.86,530.3
2023-09-01,Группа 2,Производитель 10,Бренд 5,578.15,820.77
2023-10-01,Группа 2,Производитель 3,Бренд 21,487.97,604.99
2023-11-01,Группа 2,Производитель 11,Бренд 4,265.06,335.7
2023-12-01,Группа 2,Производитель 16,Бренд 10,550.18,606.22
2024-01-01,Группа 2,Производитель 18,Бренд 10,131.3,620.08
2024-02-01,Группа 2,Производитель 1,Бренд 16,505.22,534.91
2024-03-01,Группа 2,Производитель 16,Бренд 15,821.19,222.92
2024-04-01,Группа 2,Производитель 14,Бренд 17,930.8,912.5
2024-05-01,Группа 2,Производитель 22,Бренд 16,696.76,438.08
2024-06-01,Группа 2,Производитель 21,Бренд 16,910.09,410.49
2023-01-01,Группа 2,Производитель 17,Бренд 21,168.85,175.11
2023-02-01,Группа 2,Производитель 15,Бренд 18,127.95,784.35
2023-03-01,Группа 2,Производитель 13,Бренд 7,435.91,640.29
2023-04-01,Группа 2,Производитель 21,Бренд 4,686.31,825.82
2023-05-01,Группа 2,Производитель 22,Бренд 15,439.31,842.55
2023-06-01,Группа 2,Производитель 6,Бренд 7,882.01,687.66
2023-07-01,Группа 2,Производитель 8,Бренд 21,380.41,217.85
2023-08-01,Группа 2,Производитель 12,Бренд 15,608.47,526.09
2023-09-01,Группа 2,Производитель 9,Бренд 6,801.88,782.02
2023-10-01,Группа 2,Производитель 5,Бренд 21,249.36,456.25
2023-11-01,Группа 2,Производитель 9,Бренд 6,510.3,535.79
2023-12-01,Группа 2,Производитель 16,Бренд 17,774.83,214.89
2024-01-01,Группа 2,Производитель 12,Бренд 16,969.88,359.23
2024-02-01,Группа 2,Производитель 14,Бренд 5,803.96,571.23
2024-03-01,Группа 2,Производитель 1,Бренд 18,845.65,828.49
2024-04-01,Группа 2,Производитель 16,Бренд 6,595.01,162.54
2024-05-01,Группа 2,Производитель 11,Бренд 1,956.37,996.79
2024-06-01,Группа 2,Производитель 24,Бренд 16,784.58,148.49
2023-01-01,Группа 2,Производитель 8,Бренд 2,154.99,773.63
2023-02-01,Группа 2,Производитель 13,Бренд 21,615.82,423.32
2023-03-01,Группа 2,Производитель 6,Бренд 2,471.33,468.96
2023-04-01,Группа 2,Производитель 13,Бренд 14,352.98,160.27
2023-05-01,Группа 2,Производитель 6,Бренд 4,412.28,562.75
2023-06-01,Группа 2,Производитель 3,Бренд 11,654.88,821.44
2023-07-01,Группа 2,Производитель 20,Бренд 15,790.33,769.41
2023-08-01,Группа 2,Производитель 13,Бренд 4,122.55,194.74
2023-09-01,Группа 2,Производитель 10,Бренд 4,330.33,930.9
2023-10-01,Группа 2,Производитель 6,Бренд 3,317.02,699.28
2023-11-01,Группа 2,Производитель 24,Бренд 13,386.9,440.38
2023-12-01,Группа 2,Производитель 14,Бренд 8,795.39,576.59
2024-01-01,Группа 2,Производитель 10,Бренд 17,114.09,686.13
2024-02-01,Группа 2,Производитель 20,Бренд 18,240.45,848.14
2024-03-01,Группа 2,Производитель 17,Бренд 17,668.22,692.05
2024-04-01,Группа 2,Производитель 8,Бренд 5,280.8,116.84
2024-05-01,Группа 2,Производитель 8,Бренд 18,978.34,210.86
2024-06-01,Группа 2,Производитель 16,Бренд 11,295.31,260.3
2023-01-01,Группа 2,Производитель 20,Бренд 24,908.58,986.25
2023-02-01,Группа 2,Производитель 9,Бренд 24,281.42,565.03
2023-03-01,Группа 2,Производитель 6,Бренд 18,275.55,758.4
2023-04-01,Группа 2,Производитель 8,Бренд 20,511.39,494.98
2023-05-01,Группа 2,Производитель 7,Бренд 24,356.46,437.23
2023-06-01,Группа 2,Производитель 15,Бренд 22,875.74,852.21
2023-07-01,Группа 2,Производитель 8,Бренд 23,709.28,855.4
2023-08-01,Группа 2,Производитель 23,Бренд 15,245.28,829.14
2023-09-01,Группа 2,Производитель 4,Бренд 19,600.68,849.43
2023-10-01,Группа 2,Производитель 9,Бренд 19,649.09,304.73
2023-11-01,Группа 2,Производитель 19,Бренд 10,694.87,788.02
2023-12-01,Группа 2,Производитель 5,Бренд 13,280.79,847.93
2024-01-01,Группа 2,Производитель 11,Бренд 21,573.71,435.45
2024-02-01,Группа 2,Производитель 14,Бренд 10,252.6,271.55
2024-03-01,Группа 2,Производитель 4,Бренд 21,769.84,292.07
2024-04-01,Группа 2,Производитель 15,Бренд 19,533.73,310.83
2024-05-01,Группа 2,Производитель 13,Бренд 10,247.22,523.83
2024-06-01,Группа 2,Производитель 17,Бренд 14,175.29,990.6
2023-01-01,Группа 2,Производитель 12,Бренд 13,746.16,607.97
2023-02-01,Группа 2,Производитель 19,Бренд 8,941.87,790.36
2023-03-01,Группа 2,Производитель 13,Бренд 3,222.09,502.31
2023-04-01,Группа 2,Производитель 15,Бренд 16,675.66,614.28
2023-05-01,Группа 2,Производитель 18,Бренд 19,941.94,979.88
2023-06-01,Группа 2,Производитель 18,Бренд 24,741.48,595.41
2023-07-01,Группа 2,Производитель 2,Бренд 21,250.2,479.66
2023-08-01,Группа 2,Производитель 10,Бренд 2,850.96,220.41
2023-09-01,Группа 2,Производитель 12,Бренд 5,637.51,331.95
2023-10-01,Группа 2,Производитель 15,Бренд 10,492.88,815.24
2023-11-01,Группа 2,Производитель 2,Бренд 16,915.67,986.73
2023-12-01,Группа 2,Производитель 2,Бренд 15,346.83,281.74
2024-01-01,Группа 2,Производитель 24,Бренд 18,944.4,458.92
2024-02-01,Группа 2,Производитель 3,Бренд 22,591.95,572.17
2024-03-01,Группа 2,Производитель 16,Бренд 17,953.85,594.28
2024-04-01,Группа 2,Производитель 7,Бренд 10,615.95,934.32
2024-05-01,Группа 2,Производитель 5,Бренд 24,724.61,141.73
2024-06-01,Группа 2,Производитель 7,Бренд 5,201.11,822.85
2023-01-01,Группа 2,Производитель 23,Бренд 7,585.88,133.99
2023-02-01,Группа 2,Производитель 12,Бренд 5,507.77,482.02
2023-03-01,Группа 2,Производитель 5,Бренд 12,664.47,993.76
2023-04-01,Группа 2,Производитель 1,Бренд 12,273.7,552.71
2023-05-01,Группа 2,Производитель 9,Бренд 21,911.11,713.47
2023-06-01,Группа 2,Производитель 22,Бренд 9,661.3,597.0
2023-07-01,Группа 2,Производитель 2,Бренд 6,472.89,281.38
2023-08-01,Группа 2,Производитель 12,Бренд 2,391.01,497.85
2023-09-01,Группа 2,Производитель 9,Бренд 8,326.96,880.87
2023-10-01,Группа 2,Производитель 4,Бренд 7,990.46,227.53
2023-11-01,Группа 2,Производитель 18,Бренд 23,914.94,515.94
2023-12-01,Группа 2,Производитель 12,Бренд 24,876.09,847.06
2024-01-01,Группа 2,Производитель 3,Бренд 12,458.85,428.68
2024-02-01,Группа 2,Производитель 24,Бренд 10,870.36,448.57
2024-03-01,Группа 2,Производитель 19,Бренд 18,523.85,656.45
2024-04-01,Группа 2,Производитель 12,Бренд 11,849.06,886.06
2024-05-01,Группа 2,Производитель 11,Бренд 17,863.47,716.55
2024-06-01,Группа 2,Производитель 15,Бренд 6,932.18,771.97
2023-01-01,Группа 2,Производитель 20,Бренд 19,314.27,176.4
2023-02-01,Группа 2,Производитель 3,Бренд 10,174.06,917.48
2023-03-01,Группа 2,Производитель 5,Бренд 14,739.35,483.2
2023-04-01,Группа 2,Производитель 5,Бренд 14,303.88,259.97
2023-05-01,Группа 2,Производитель 22,Бренд 24,928.38,961.86
2023-06-01,Группа 2,Производитель 11,Бренд 5,758.2,617.25
2023-07-01,Группа 2,Производитель 18,Бренд 23,313.86,571.87
2023-08-01,Группа 2,Производитель 5,Бренд 15,811.46,668.71
2023-09-01,Группа 2,Производитель 2,Бренд 3,548.37,257.86
2023-10-01,Группа 2,Производитель 9,Бренд 21,603.89,431.09
2023-11-01,Группа 2,Производитель 12,Бренд 1,634.53,472.21
2023-12-01,Группа 2,Производитель 9,Бренд 11,971.19,722.83
2024-01-01,Группа 2,Производитель 2,Бренд 11,636.48,187.44
2024-02-01,Группа 2,Производитель 12,Бренд 5,794.31,189.63
2024-03-01,Группа 2,Производитель 18,Бренд 22,556.39,450.37
2024-04-01,Группа 2,Производитель 7,Бренд 9,538.17,338.27
2024-05-01,Группа 2,Производитель 9,Бренд 5,249.29,316.11
2024-06-01,Группа 2,Производитель 17,Бренд 24,714.13,606.09
2023-01-01,Группа 2,Производитель 19,Бренд 13,594.04,851.32
2023-02-01,Группа 2,Производитель 8,Бренд 15,847.82,133.21
2023-03-01,Группа 2,Производитель 22,Бренд 10,719.5,351.77
2023-08-01,Группа 2,Производитель 17,Бренд 20,606.71,496.08
2023-09-01,Группа 2,Производитель 5,Бренд 8,948.59,247.25
2024-01-01,Группа 2,Производитель 6,Бренд 22,758.14,542.29
2023-01-01,Группа 2,Производитель 20,Бренд 14,916.38,670.97
2023-02-01,Группа 2,Производитель 14,Бренд 14,661.52,331.04
2023-03-01,Группа 2,Производитель 10,Бренд 10,282.32,900.03
2023-04-01,Группа 2,Производитель 19,Бренд 17,366.49,261.84
2023-05-01,Группа 2,Производитель 10,Бренд 22,700.17,924.89
2023-06-01,Группа 2,Производитель 15,Бренд 10,933.13,666.68
2023-07-01,Группа 2,Производитель 16,Бренд 5,738.33,886.95
2023-08-01,Группа 2,Производитель 5,Бренд 9,625.95,650.27
2023-09-01,Группа 2,Производитель 24,Бренд 13,663.66,775.56
2023-10-01,Группа 2,Производитель 15,Бренд 12,372.64,806.94
2023-11-01,Группа 2,Производитель 17,Бренд 24,218.29,746.44
2023-12-01,Группа 2,Производитель 12,Бренд 10,157.83,241.36
2024-01-01,Группа 2,Производитель 6,Бренд 10,760.73,521.57
2024-02-01,Группа 2,Производитель 15,Бренд 14,581.08,481.21
2024-03-01,Группа 2,Производитель 1,Бренд 3,745.22,648.05
2024-04-01,Группа 2,Производитель 14,Бренд 24,879.23,750.37
2024-05-01,Группа 2,Производитель 3,Бренд 4,211.22,304.39
2024-06-01,Группа 2,Производитель 5,Бренд 20,380.87,772.6
2023-01-01,Группа 2,Производитель 8,Бренд 22,247.68,451.53
2023-02-01,Группа 2,Производитель 21,Бренд 22,854.25,691.16
2023-03-01,Группа 2,Производитель 2,Бренд 8,613.26,886.25
2023-04-01,Группа 2,Производитель 8,Бренд 7,324.29,102.71
2023-05-01,Группа 2,Производитель 2,Бренд 22,510.18,113.04
2023-06-01,Группа 2,Производитель 10,Бренд 8,736.03,735.71
2023-07-01,Группа 2,Производитель 23,Бренд 12,151.84,591.35
2023-08-01,Группа 2,Производитель 5,Бренд 24,553.19,538.9
2023-09-01,Группа 2,Производитель 4,Бренд 14,825.74,807.0
2023-10-01,Группа 2,Производитель 16,Бренд 10,896.87,608.32
2023-11-01,Группа 2,Производитель 9,Бренд 19,631.08,984.08
2023-12-01,Группа 2,Производитель 13,Бренд 14,571.0,978.59
2024-01-01,Группа 2,Производитель 24,Бренд 10,302.02,191.59
2024-02-01,Группа 2,Производитель 3,Бренд 1,116.53,260.97
2024-03-01,Группа 2,Производитель 13,Бренд 5,363.58,255.0
2024-04-01,Группа 2,Производитель 22,Бренд 22,192.98,342.97
2024-05-01,Группа 2,Производитель 17,Бренд 19,872.82,736.29
2024-06-01,Группа 2,Производитель 24,Бренд 19,122.12,710.91
2023-01-01,Группа 3,Производитель 7,Бренд 11,841.59,634.77
2023-02-01,Группа 3,Производитель 17,Бренд 19,438.9,360.56
2023-03-01,Группа 3,Производитель 16,Бренд 21,511.65,818.44
2023-04-01,Группа 3,Производитель 17,Бренд 3,267.46,353.0
2023-05-01,Группа 3,Производитель 4,Бренд 17,637.38,872.38
2023-06-01,Группа 3,Производитель 19,Бренд 4,216.16,559.06
2023-07-01,Группа 3,Производитель 9,Бренд 24,476.03,694.72
2023-08-01,Группа 3,Производитель 4,Бренд 10,756.25,301.88
2023-09-01,Группа 3,Производитель 22,Бренд 7,136.5,687.79
2023-10-01,Группа 3,Производитель 12,Бренд 22,551.05,778.92
2023-11-01,Группа 3,Производитель 18,Бренд 13,104.49,957.68
2023-12-01,Группа 3,Производитель 9,Бренд 2,317.88,855.39
2024-01-01,Группа 3,Производитель 12,Бренд 23,502.28,519.95
2024-02-01,Группа 3,Производитель 1,Бренд 2,174.38,893.16
2024-03-01,Группа 3,Производитель 11,Бренд 1,826.74,970.7
2024-04-01,Группа 3,Производитель 14,Бренд 19,656.31,771.01
2024-05-01,Группа 3,Производитель 18,Бренд 5,861.21,473.82
2024-06-01,Группа 3,Производитель 14,Бренд 19,732.55,349.84
2023-01-01,Группа 3,Производитель 10,Бренд 23,354.93,684.5
2023-02-01,Группа 3,Производитель 3,Бренд 13,987.58,435.53
2023-03-01,Группа 3,Производитель 11,Бренд 19,317.63,461.24
2023-04-01,Группа 3,Производитель 18,Бренд 12,239.19,180.03
2023-05-01,Группа 3,Производитель 14,Бренд 17,304.09,895.08
2023-06-01,Группа 3,Производитель 6,Бренд 5,371.15,292.26
2023-07-01,Группа 3,Производитель 14,Бренд 13,874.88,973.43
2023-08-01,Группа 3,Производитель 14,Бренд 5,804.7,553.69
2023-09-01,Группа 3,Производитель 12,Бренд 10,484.02,757.5
2023-10-01,Группа 3,Производитель 16,Бренд 4,627.39,471.93
2023-11-01,Группа 3,Производитель 15,Бренд 15,500.92,689.51
2023-12-01,Группа 3,Производитель 19,Бренд 7,623.14,470.25
2024-01-01,Группа 3,Производитель 4,Бренд 7,550.92,866.85
2023-01-01,Группа 3,Производитель 14,Бренд 21,645.23,322.56
2023-02-01,Группа 3,Производитель 18,Бренд 3,647.89,478.52
2023-03-01,Группа 3,Производитель 10,Бренд 15,360.01,794.0
2023-04-01,Группа 3,Производитель 4,Бренд 16,420.95,864.06
2023-05-01,Группа 3,Производитель 13,Бренд 15,303.14,891.91
2023-06-01,Группа 3,Производитель 20,Бренд 8,443.87,848.25
2023-07-01,Группа 3,Производитель 2,Бренд 24,732.61,983.3
2023-08-01,Группа 3,Производитель 14,Бренд 5,823.05,338.56
2023-09-01,Группа 3,Производитель 3,Бренд 8,658.28,453.7
2023-10-01,Группа 3,Производитель 23,Бренд 13,317.32,559.9
2023-11-01,Группа 3,Производитель 17,Бренд 12,198.67,421.15
2023-12-01,Группа 3,Производитель 11,Бренд 21,851.96,520.37
2024-01-01,Группа 3,Производитель 19,Бренд 20,547.28,738.59
2024-02-01,Группа 3,Производитель 16,Бренд 17,772.63,467.86
2024-03-01,Группа 3,Производитель 19,Бренд 16,707.01,309.46
2024-04-01,Группа 3,Производитель 2,Бренд 3,376.58,569.91
2024-05-01,Группа 3,Производитель 14,Бренд 7,664.68,149.17
2024-06-01,Группа 3,Производитель 8,Бренд 17,144.86,235.31
2023-01-01,Группа 3,Производитель 8,Бренд 5,227.38,152.97
2023-02-01,Группа 3,Производитель 4,Бренд 13,139.87,302.3
2023-03-01,Группа 3,Производитель 11,Бренд 9,450.44,539.75
2023-04-01,Группа 3,Производитель 17,Бренд 11,282.36,346.17
2023-05-01,Группа 3,Производитель 17,Бренд 8,894.19,262.77
2023-06-01,Группа 3,Производитель 3,Бренд 7,238.94,388.6
2023-07-01,Группа 3,Производитель 7,Бренд 3,283.27,565.81
2023-08-01,Группа 3,Производитель 12,Бренд 22,242.38,586.13
2023-09-01,Группа 3,Производитель 2,Бренд 8,540.84,984.92
2023-10-01,Группа 3,Производитель 7,Бренд 21,723.89,945.46
2023-11-01,Группа 3,Производитель 9,Бренд 6,652.57,864.6
2023-12-01,Группа 3,Производитель 5,Бренд 19,516.19,407.32
2024-01-01,Группа 3,Производитель 3,Бренд 20,847.16,954.66
2024-02-01,Группа 3,Производитель 20,Бренд 24,222.86,303.44
2024-03-01,Группа 3,Производитель 15,Бренд 4,726.35,769.89
2024-04-01,Группа 3,Производитель 6,Бренд 17,695.65,424.47
2024-05-01,Группа 3,Производитель 12,Бренд 13,206.03,858.6
2024-06-01,Группа 3,Производитель 2,Бренд 22,224.98,281.42
2023-01-01,Группа 3,Производитель 18,Бренд 19,140.01,390.27
2023-02-01,Группа 3,Производитель 10,Бренд 8,171.12,160.47
2023-03-01,Группа 3,Производитель 11,Бренд 8,960.22,587.11
2023-04-01,Группа 3,Производитель 6,Бренд 4,505.52,867.57
2023-05-01,Группа 3,Производитель 16,Бренд 5,304.36,464.74
2023-06-01,Группа 3,Производитель 18,Бренд 14,193.5,823.66
2023-07-01,Группа 3,Производитель 15,Бренд 15,384.94,397.94
2023-08-01,Группа 3,Производитель 15,Бренд 23,304.12,971.34
2023-09-01,Группа 3,Производитель 20,Бренд 10,450.85,961.81
2023-10-01,Группа 3,Производитель 23,Бренд 2,266.77,121.76
2023-11-01,Группа 3,Производитель 7,Бренд 12,306.69,283.07
2023-12-01,Группа 3,Производитель 21,Бренд 2,141.61,194.48
2024-01-01,Группа 3,Производитель 4,Бренд 3,555.9,580.58
2024-02-01,Группа 3,Производитель 8,Бренд 12,515.35,799.59
2024-03-01,Группа 3,Производитель 17,Бренд 24,573.18,816.93
2024-04-01,Группа 3,Производитель 21,Бренд 5,882.63,590.89
2024-05-01,Группа 3,Производитель 17,Бренд 6,716.89,470.05
2024-06-01,Группа 3,Производитель 7,Бренд 10,160.92,768.43
2023-01-01,Группа 3,Производитель 11,Бренд 19,128.45,259.16
2023-02-01,Группа 3,Производитель 21,Бренд 20,459.59,881.36
2023-03-01,Группа 3,Производитель 9,Бренд 24,475.01,160.32
2023-04-01,Группа 3,Производитель 4,Бренд 18,952.69,821.82
2023-05-01,Группа 3,Производитель 17,Бренд 8,479.09,801.94
2023-06-01,Группа 3,Производитель 23,Бренд 8,879.62,589.42
2023-07-01,Группа 3,Производитель 23,Бренд 24,899.89,995.11
2023-08-01,Группа 3,Производитель 14,Бренд 7,848.07,413.33
2023-09-01,Группа 3,Производитель 10,Бренд 9,560.43,261.42
2023-10-01,Группа 3,Производитель 11,Бренд 6,551.41,255.59
2023-11-01,Группа 3,Производитель 2,Бренд 12,826.05,298.39
2023-12-01,Группа 3,Производитель 10,Бренд 18,973.21,769.8
2024-01-01,Группа 3,Производитель 8,Бренд 12,390.93,235.47
2024-02-01,Группа 3,Производитель 10,Бренд 5,523.56,807.17
2024-03-01,Группа 3,Производитель 21,Бренд 9,658.28,584.15
2024-04-01,Группа 3,Производитель 4,Бренд 10,476.74,581.25
2024-05-01,Группа 3,Производитель 20,Бренд 7,267.18,428.21
2024-06-01,Группа 3,Производитель 16,Бренд 19,218.27,797.76
2023-01-01,Группа 3,Производитель 22,Бренд 5,482.13,160.61
2023-02-01,Группа 3,Производитель 9,Бренд 17,568.79,723.51
2023-03-01,Группа 3,Производитель 8,Бренд 20,901.69,657.96
2023-04-01,Группа 3,Производитель 22,Бренд 16,305.53,609.06
2023-05-01,Группа 3,Производитель 4,Бренд 7,660.2,814.67
2023-06-01,Группа 3,Производитель 3,Бренд 2,246.16,129.48
2023-07-01,Группа 3,Производитель 19,Бренд 10,697.6,711.79
2023-08-01,Группа 3,Производитель 12,Бренд 24,860.31,143.28
2023-09-01,Группа 3,Производитель 11,Бренд 10,782.24,667.3
2023-10-01,Группа 3,Производитель 15,Бренд 5,581.34,613.46
2023-11-01,Группа 3,Производитель 17,Бренд 16,840.14,512.57
2023-12-01,Группа 3,Производитель 18,Бренд 10,825.41,669.9
2024-01-01,Группа 3,Производитель 8,Бренд 4,615.35,337.6
2024-02-01,Группа 3,Производитель 16,Бренд 16,769.39,225.87
2024-03-01,Группа 3,Производитель 6,Бренд 21,485.46,219.44
2024-04-01,Группа 3,Производитель 11,Бренд 23,899.86,797.58
2024-05-01,Группа 3,Производитель 7,Бренд 4,674.16,246.53
2024-06-01,Группа 3,Производитель 18,Бренд 5,633.8,517.7
2023-01-01,Группа 3,Производитель 1,Бренд 16,720.93,239.77
2023-02-01,Группа 3,Производитель 18,Бренд 24,376.55,499.42
2023-03-01,Группа 3,Производитель 19,Бренд 22,668.72,665.07
2023-04-01,Группа 3,Производитель 10,Бренд 24,381.36,761.55
2023-05-01,Группа 3,Производитель 2,Бренд 7,888.76,783.98
2023-06-01,Группа 3,Производитель 11,Бренд 20,203.92,737.93
2023-07-01,Группа 3,Производитель 20,Бренд 7,493.16,109.65
2023-08-01,Группа 3,Производитель 9,Бренд 7,604.44,278.48
2023-09-01,Группа 3,Производитель 13,Бренд 20,725.44,658.73
2023-10-01,Группа 3,Производитель 19,Бренд 21,321.53,640.73
2023-11-01,Группа 3,Производитель 24,Бренд 17,105.08,543.39
2023-12-01,Группа 3,Производитель 4,Бренд 7,861.66,340.73
2024-01-01,Группа 3,Производитель 2,Бренд 4,101.06,640.74
2024-02-01,Группа 3,Производитель 20,Бренд 2,337.76,340.69
2024-03-01,Группа 3,Производитель 20,Бренд 5,708.51,590.44
2024-04-01,Группа 3,Производитель 15,Бренд 13,161.37,943.49
2024-05-01,Группа 3,Производитель 6,Бренд 23,168.15,519.07
2024-06-01,Группа 3,Производитель 9,Бренд 10,658.37,209.98
2023-01-01,Группа 3,Производитель 14,Бренд 21,575.66,754.5
2023-02-01,Группа 3,Производитель 23,Бренд 11,168.27,886.65
2023-03-01,Группа 3,Производитель 1,Бренд 13,182.4,841.78
2023-04-01,Группа 3,Производитель 23,Бренд 15,315.51,487.9
2023-05-01,Группа 3,Производитель 20,Бренд 19,139.24,829.61
2023-06-01,Группа 3,Производитель 24,Бренд 16,455.35,142.28
2023-07-01,Группа 3,Производитель 10,Бренд 10,678.02,148.82
2023-08-01,Группа 3,Производитель 3,Бренд 16,912.37,249.94
2023-09-01,Группа 3,Производитель 20,Бренд 1,424.52,973.18
2023-10-01,Группа 3,Производитель 12,Бренд 16,864.75,837.04
2023-11-01,Группа 3,Производитель 11,Бренд 7,155.06,163.38
2023-12-01,Группа 3,Производитель 23,Бренд 22,860.98,735.1
2024-01-01,Группа 3,Производитель 15,Бренд 6,128.23,783.45
2024-02-01,Группа 3,Производитель 1,Бренд 12,791.31,867.41
2024-03-01,Группа 3,Производитель 20,Бренд 20,686.96,563.29
2024-04-01,Группа 3,Производитель 8,Бренд 23,281.14,509.79
2024-05-01,Группа 3,Производитель 13,Бренд 4,284.35,104.58
2024-06-01,Группа 3,Производитель 12,Бренд 9,981.21,130.0
2023-01-01,Группа 3,Производитель 6,Бренд 10,553.04,579.11
2023-02-01,Группа 3,Производитель 7,Бренд 21,775.35,362.49
2023-03-01,Группа 3,Производитель 12,Бренд 24,225.19,130.97
2023-04-01,Группа 3,Производитель 14,Бренд 2,598.25,629.17
2023-05-01,Группа 3,Производитель 19,Бренд 7,583.33,447.62
2023-06-01,Группа 3,Производитель 13,Бренд 2,218.3,509.44
2023-07-01,Группа 3,Производитель 18,Бренд 16,524.15,325.26
2023-08-01,Группа 3,Производитель 21,Бренд 8,704.56,262.47
2023-09-01,Группа 3,Производитель 6,Бренд 17,373.34,370.09
2023-10-01,Группа 3,Производитель 6,Бренд 4,931.01,469.81
2023-11-01,Группа 3,Производитель 2,Бренд 22,808.72,954.94
2023-12-01,Группа 3,Производитель 19,Бренд 24,820.54,163.26
2024-01-01,Группа 3,Производитель 3,Бренд 24,229.31,708.21
2024-02-01,Группа 3,Производитель 12,Бренд 21,635.12,837.78
2024-03-01,Группа 3,Производитель 24,Бренд 23,607.58,324.05
2024-04-01,Группа 3,Производитель 24,Бренд 8,698.91,958.29
2024-05-01,Группа 3,Производитель 18,Бренд 14,991.87,373.3
2024-06-01,Группа 3,Производитель 21,Бренд 12,448.64,894.12
2023-01-01,Группа 3,Производитель 13,Бренд 24,350.54,134.64
2023-02-01,Группа 3,Производитель 1,Бренд 4,363.56,255.14
2023-03-01,Группа 3,Производитель 4,Бренд 2,103.45,689.91
2023-04-01,Группа 3,Производитель 10,Бренд 24,607.32,858.41
2023-05-01,Группа 3,Производитель 12,Бренд 1,109.43,435.24
2023-06-01,Группа 3,Производитель 7,Бренд 10,600.37,655.49
2023-07-01,Группа 3,Производитель 19,Бренд 18,297.24,684.92
2023-08-01,Группа 3,Производитель 12,Бренд 12,948.58,831.85
2023-09-01,Группа 3,Производитель 16,Бренд 15,861.36,243.13
2023-10-01,Группа 3,Производитель 24,Бренд 4,882.45,947.29
2023-11-01,Группа 3,Производитель 15,Бренд 10,130.67,904.42
2023-12-01,Группа 3,Производитель 14,Бренд 21,631.59,737.5
2024-01-01,Группа 3,Производитель 11,Бренд 17,588.41,942.98
2024-02-01,Группа 3,Производитель 2,Бренд 19,540.6,156.15
2024-03-01,Группа 3,Производитель 1,Бренд 21,766.24,466.73
2024-04-01,Группа 3,Производитель 18,Бренд 1,473.96,393.88
2024-05-01,Группа 3,Производитель 12,Бренд 24,910.17,225.94
2024-06-01,Группа 3,Производитель 5,Бренд 13,446.04,215.79
2023-01-01,Группа 3,Производитель 9,Бренд 17,338.49,580.11
2023-02-01,Группа 3,Производитель 12,Бренд 12,220.71,406.04
2023-03-01,Группа 3,Производитель 7,Бренд 18,579.36,310.47
2023-04-01,Группа 3,Производитель 16,Бренд 16,244.46,647.85
2023-05-01,Группа 3,Производитель 24,Бренд 16,939.86,560.26
2023-06-01,Группа 3,Производитель 22,Бренд 14,611.7,933.01
2023-07-01,Группа 3,Производитель 8,Бренд 11,601.53,764.19
2023-08-01,Группа 3,Производитель 9,Бренд 13,793.84,313.58
2023-09-01,Группа 3,Производитель 24,Бренд 12,661.03,454.14
2023-10-01,Группа 3,Производитель 16,Бренд 16,160.84,993.03
2023-11-01,Группа 3,Производитель 3,Бренд 6,603.07,603.6
2023-12-01,Группа 3,Производитель 1,Бренд 22,763.8,940.11
2024-01-01,Группа 3,Производитель 12,Бренд 16,195.98,431.27
2024-02-01,Группа 3,Производитель 2,Бренд 24,793.85,984.18
2024-03-01,Группа 3,Производитель 18,Бренд 9,348.83,763.21
2024-04-01,Группа 3,Производитель 11,Бренд 2,961.92,663.18
2024-05-01,Группа 3,Производитель 2,Бренд 1,221.14,964.64
2024-06-01,Группа 3,Производитель 15,Бренд 20,132.94,441.39
2023-01-01,Группа 3,Производитель 7,Бренд 23,324.1,737.85
2023-02-01,Группа 3,Производитель 7,Бренд 21,628.48,839.47
2023-03-01,Группа 3,Производитель 20,Бренд 14,217.53,605.67
2023-04-01,Группа 3,Производитель 18,Бренд 14,357.51,340.39
2023-05-01,Группа 3,Производитель 13,Бренд 16,528.07,299.5
2023-06-01,Группа 3,Производитель 8,Бренд 13,835.64,102.6
